**************************************
Base attacks:
5 - - - - - - - - 
4 - - - - X X X - 
3 - - - - X + X - 
2 - - - - X X X - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - X X X 
3 - - - - - X + X 
2 - - - - - X X X 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - X X 
3 - - - - - - X + 
2 - - - - - - X X 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 X X - - - - - - 
4 + X - - - - - - 
3 X X - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 X X X - - - - - 
4 X + X - - - - - 
3 X X X - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - X X X - - - - 
4 - X + X - - - - 
3 - X X X - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - X X X - - - 
4 - - X + X - - - 
3 - - X X X - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - X X X - - 
4 - - - X + X - - 
3 - - - X X X - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - X X X - 
4 - - - - X + X - 
3 - - - - X X X - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - X X X 
4 - - - - - X + X 
3 - - - - - X X X 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - X X 
4 - - - - - - X + 
3 - - - - - - X X 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 X X - - - - - - 
5 + X - - - - - - 
4 X X - - - - - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 X X X - - - - - 
5 X + X - - - - - 
4 X X X - - - - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - X X X - - - - 
5 - X + X - - - - 
4 - X X X - - - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - X X X - - - 
5 - - X + X - - - 
4 - - X X X - - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - X X X - - 
5 - - - X + X - - 
4 - - - X X X - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - X X X - 
5 - - - - X + X - 
4 - - - - X X X - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - X X X 
5 - - - - - X + X 
4 - - - - - X X X 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - X X 
5 - - - - - - X + 
4 - - - - - - X X 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 X X - - - - - - 
6 + X - - - - - - 
5 X X - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 X X X - - - - - 
6 X + X - - - - - 
5 X X X - - - - - 
