c1	96	8/p7/p7/8/8/8/8/2R2pp1	a1 b1 d1 e1 f1	c2 c3 c4 c5 c6
c1	98	8/p7/p7/8/8/8/p7/1pR2pp1	b1 d1 e1 f1	c2
c1	100	8/p7/p7/8/8/p7/8/2R2pp1	a1 b1 d1 e1 f1	c2 c3
c1	102	8/p7/p7/8/8/p7/p7/1pR2pp1	b1 d1 e1 f1	c2
c1	104	8/p7/p7/8/p7/8/8/2Rp1pp1	a1 b1 d1	c2 c3 c4
c1	106	8/p7/p7/8/p7/8/p7/1pRp1pp1	b1 d1	c2
c1	108	8/p7/p7/8/p7/p7/8/2Rp1pp1	a1 b1 d1	c2 c3
c1	110	8/p7/p7/8/p7/p7/p7/1pRp1pp1	b1 d1	c2
c1	112	8/p7/p7/p7/8/8/8/2R1ppp1	a1 b1 d1 e1	c2 c3 c4 c5
c1	114	8/p7/p7/p7/8/8/p7/1pR1ppp1	b1 d1 e1	c2
c1	116	8/p7/p7/p7/8/p7/8/2R1ppp1	a1 b1 d1 e1	c2 c3
c1	118	8/p7/p7/p7/8/p7/p7/1pR1ppp1	b1 d1 e1	c2
c1	120	8/p7/p7/p7/p7/8/8/2Rpppp1	a1 b1 d1	c2 c3 c4
c1	122	8/p7/p7/p7/p7/8/p7/1pRpppp1	b1 d1	c2
c1	124	8/p7/p7/p7/p7/p7/8/2Rpppp1	a1 b1 d1	c2 c3
c1	126	8/p7/p7/p7/p7/p7/p7/1pRpppp1	b1 d1	c2
d1	0	8/8/8/8/8/8/8/3R4	a1 b1 c1 e1 f1 g1 h1	d2 d3 d4 d5 d6 d7 d8
d1	2	8/8/8/8/8/8/p7/1p1R4	b1 c1 e1 f1 g1 h1	d2
d1	4	8/8/8/8/8/p7/8/2pR4	c1 e1 f1 g1 h1	d2 d3
d1	6	8/8/8/8/8/p7/p7/1ppR4	c1 e1 f1 g1 h1	d2
d1	8	8/8/8/8/p7/8/8/3R4	a1 b1 c1 e1 f1 g1 h1	d2 d3 d4
d1	10	8/8/8/8/p7/8/p7/1p1R4	b1 c1 e1 f1 g1 h1	d2
d1	12	8/8/8/8/p7/p7/8/2pR4	c1 e1 f1 g1 h1	d2 d3
d1	14	8/8/8/8/p7/p7/p7/1ppR4	c1 e1 f1 g1 h1	d2
d1	16	8/8/8/p7/8/8/8/3Rp3	a1 b1 c1 e1	d2 d3 d4 d5
d1	18	8/8/8/p7/8/8/p7/1p1Rp3	b1 c1 e1	d2
d1	20	8/8/8/p7/8/p7/8/2pRp3	c1 e1	d2 d3
d1	22	8/8/8/p7/8/p7/p7/1ppRp3	c1 e1	d2
d1	24	8/8/8/p7/p7/8/8/3Rp3	a1 b1 c1 e1	d2 d3 d4
d1	26	8/8/8/p7/p7/8/p7/1p1Rp3	b1 c1 e1	d2
d1	28	8/8/8/p7/p7/p7/8/2pRp3	c1 e1	d2 d3
d1	30	8/8/8/p7/p7/p7/p7/1ppRp3	c1 e1	d2
d1	32	8/8/p7/8/8/8/8/3R1p2	a1 b1 c1 e1 f1	d2 d3 d4 d5 d6
d1	34	8/8/p7/8/8/8/p7/1p1R1p2	b1 c1 e1 f1	d2
d1	36	8/8/p7/8/8/p7/8/2pR1p2	c1 e1 f1	d2 d3
d1	38	8/8/p7/8/8/p7/p7/1ppR1p2	c1 e1 f1	d2
d1	40	8/8/p7/8/p7/8/8/3R1p2	a1 b1 c1 e1 f1	d2 d3 d4
d1	42	8/8/p7/8/p7/8/p7/1p1R1p2	b1 c1 e1 f1	d2
d1	44	8/8/p7/8/p7/p7/8/2pR1p2	c1 e1 f1	d2 d3
d1	46	8/8/p7/8/p7/p7/p7/1ppR1p2	c1 e1 f1	d2
d1	48	8/8/p7/p7/8/8/8/3Rpp2	a1 b1 c1 e1	d2 d3 d4 d5
d1	50	8/8/p7/p7/8/8/p7/1p1Rpp2	b1 c1 e1	d2
d1	52	8/8/p7/p7/8/p7/8/2pRpp2	c1 e1	d2 d3
d1	54	8/8/p7/p7/8/p7/p7/1ppRpp2	c1 e1	d2
d1	56	8/8/p7/p7/p7/8/8/3Rpp2	a1 b1 c1 e1	d2 d3 d4
d1	58	8/8/p7/p7/p7/8/p7/1p1Rpp2	b1 c1 e1	d2
d1	60	8/8/p7/p7/p7/p7/8/2pRpp2	c1 e1	d2 d3
d1	62	8/8/p7/p7/p7/p7/p7/1ppRpp2	c1 e1	d2
d1	64	8/p7/8/8/8/8/8/3R2p1	a1 b1 c1 e1 f1 g1	d2 d3 d4 d5 d6 d7
d1	66	8/p7/8/8/8/8/p7/1p1R2p1	b1 c1 e1 f1 g1	d2
d1	68	8/p7/8/8/8/p7/8/2pR2p1	c1 e1 f1 g1	d2 d3
d1	70	8/p7/8/8/8/p7/p7/1ppR2p1	c1 e1 f1 g1	d2
d1	72	8/p7/8/8/p7/8/8/3R2p1	a1 b1 c1 e1 f1 g1	d2 d3 d4
d1	74	8/p7/8/8/p7/8/p7/1p1R2p1	b1 c1 e1 f1 g1	d2
d1	76	8/p7/8/8/p7/p7/8/2pR2p1	c1 e1 f1 g1	d2 d3
d1	78	8/p7/8/8/p7/p7/p7/1ppR2p1	c1 e1 f1 g1	d2
d1	80	8/p7/8/p7/8/8/8/3Rp1p1	a1 b1 c1 e1	d2 d3 d4 d5
d1	82	8/p7/8/p7/8/8/p7/1p1Rp1p1	b1 c1 e1	d2
d1	84	8/p7/8/p7/8/p7/8/2pRp1p1	c1 e1	d2 d3
d1	86	8/p7/8/p7/8/p7/p7/1ppRp1p1	c1 e1	d2
d1	88	8/p7/8/p7/p7/8/8/3Rp1p1	a1 b1 c1 e1	d2 d3 d4
d1	90	8/p7/8/p7/p7/8/p7/1p1Rp1p1	b1 c1 e1	d2
d1	92	8/p7/8/p7/p7/p7/8/2pRp1p1	c1 e1	d2 d3
d1	94	8/p7/8/p7/p7/p7/p7/1ppRp1p1	c1 e1	d2
d1	96	8/p7/p7/8/8/8/8/3R1pp1	a1 b1 c1 e1 f1	d2 d3 d4 d5 d6
d1	98	8/p7/p7/8/8/8/p7/1p1R1pp1	b1 c1 e1 f1	d2
d1	100	8/p7/p7/8/8/p7/8/2pR1pp1	c1 e1 f1	d2 d3
d1	102	8/p7/p7/8/8/p7/p7/1ppR1pp1	c1 e1 f1	d2
d1	104	8/p7/p7/8/p7/8/8/3R1pp1	a1 b1 c1 e1 f1	d2 d3 d4
d1	106	8/p7/p7/8/p7/8/p7/1p1R1pp1	b1 c1 e1 f1	d2
d1	108	8/p7/p7/8/p7/p7/8/2pR1pp1	c1 e1 f1	d2 d3
d1	110	8/p7/p7/8/p7/p7/p7/1ppR1pp1	c1 e1 f1	d2
d1	112	8/p7/p7/p7/8/8/8/3Rppp1	a1 b1 c1 e1	d2 d3 d4 d5
d1	114	8/p7/p7/p7/8/8/p7/1p1Rppp1	b1 c1 e1	d2
d1	116	8/p7/p7/p7/8/p7/8/2pRppp1	c1 e1	d2 d3
d1	118	8/p7/p7/p7/8/p7/p7/1ppRppp1	c1 e1	d2
